epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,74029.7,1.82179,0.95156,1.7694,0.73617,0.56056,0.61207,0.45074,1.65316,1.21073,1.78972,0.008119,0.008119,0.008119
59,74560.3,1.8151,0.94409,1.76459,0.73757,0.56063,0.61229,0.45224,1.65064,1.20927,1.78787,0.008086,0.008086,0.008086
60,75090.6,1.80459,0.94514,1.75718,0.73303,0.56549,0.60228,0.44725,1.64635,1.20725,1.78534,0.008053,0.008053,0.008053
61,79584.7,1.8162,0.94177,1.75994,0.73354,0.5678,0.60147,0.44853,1.64552,1.20361,1.78521,0.00802,0.00802,0.00802
62,84617.7,1.82342,0.93185,1.7598,0.73497,0.5675,0.60237,0.44912,1.64369,1.2022,1.78393,0.007987,0.007987,0.007987
63,85155.8,1.81287,0.94418,1.76589,0.73675,0.57071,0.60285,0.44998,1.64054,1.20189,1.78227,0.007954,0.007954,0.007954
64,85685.3,1.79853,0.92829,1.75397,0.73675,0.56974,0.61101,0.45374,1.63857,1.20016,1.78026,0.007921,0.007921,0.007921
65,86224.8,1.81035,0.94186,1.76376,0.73773,0.57019,0.61318,0.45488,1.63693,1.19755,1.77874,0.007888,0.007888,0.007888
66,86753.4,1.80061,0.9262,1.76278,0.73644,0.56952,0.61312,0.45613,1.63551,1.19539,1.7773,0.007855,0.007855,0.007855
67,89640.2,1.78713,0.91391,1.74343,0.73441,0.57415,0.61251,0.45622,1.63419,1.19577,1.77594,0.007822,0.007822,0.007822
68,90172.1,1.79994,0.92389,1.75814,0.73668,0.57311,0.61334,0.45701,1.6324,1.193,1.77534,0.007789,0.007789,0.007789
69,90709,1.79331,0.90794,1.73927,0.73002,0.57891,0.61471,0.45776,1.6312,1.19179,1.77433,0.007756,0.007756,0.007756
70,92705.4,1.79107,0.91481,1.75335,0.73387,0.57857,0.61044,0.45547,1.62967,1.18909,1.77356,0.007723,0.007723,0.007723
71,93238.2,1.80054,0.90967,1.74675,0.73799,0.57781,0.61153,0.45618,1.62792,1.18697,1.77221,0.00769,0.00769,0.00769
72,96540.4,1.78269,0.9047,1.7436,0.73937,0.57695,0.61251,0.45702,1.62727,1.18437,1.77151,0.007657,0.007657,0.007657
73,97076.5,1.79268,0.91089,1.74954,0.74202,0.57399,0.61301,0.45692,1.62563,1.1824,1.77054,0.007624,0.007624,0.007624
74,97605.7,1.76899,0.91148,1.74595,0.74388,0.57351,0.61269,0.45756,1.62413,1.18066,1.76995,0.007591,0.007591,0.007591
75,98138.4,1.77088,0.90634,1.74507,0.73991,0.57828,0.61387,0.45859,1.62287,1.1786,1.76891,0.007558,0.007558,0.007558
76,98668.3,1.76769,0.89734,1.74316,0.7356,0.58303,0.61408,0.45935,1.62139,1.17704,1.76779,0.007525,0.007525,0.007525
