epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,103299,1.07141,0.873,1.35063,0.70188,0.59196,0.645,0.47918,1.07675,1.15346,1.4526,0.006865,0.006865,0.006865
97,103964,1.07626,0.88088,1.35121,0.70045,0.59396,0.64574,0.48032,1.07631,1.152,1.45203,0.006832,0.006832,0.006832
98,109535,1.07151,0.87694,1.34764,0.69821,0.59474,0.64525,0.4806,1.07581,1.15101,1.45131,0.006799,0.006799,0.006799
99,110245,1.07026,0.87887,1.35192,0.69568,0.59762,0.64521,0.48086,1.07541,1.14972,1.45074,0.006766,0.006766,0.006766
100,110936,1.07159,0.87402,1.34819,0.69777,0.59836,0.64567,0.48097,1.07517,1.14861,1.45024,0.006733,0.006733,0.006733
101,111651,1.06869,0.87148,1.3424,0.69681,0.59917,0.64598,0.48131,1.07468,1.14707,1.44964,0.0067,0.0067,0.0067
102,112319,1.06686,0.86745,1.33915,0.69569,0.59988,0.64601,0.48164,1.07427,1.14565,1.44903,0.006667,0.006667,0.006667
103,112981,1.0618,0.86858,1.34775,0.69696,0.60037,0.64695,0.48223,1.07383,1.14487,1.44821,0.006634,0.006634,0.006634
104,113665,1.07016,0.87187,1.34274,0.69379,0.603,0.64085,0.4765,1.07338,1.14399,1.44762,0.006601,0.006601,0.006601
105,114337,1.06528,0.86447,1.33148,0.69566,0.60391,0.64077,0.47654,1.07288,1.14305,1.44705,0.006568,0.006568,0.006568
106,115005,1.06186,0.86396,1.3469,0.69411,0.60565,0.64103,0.47684,1.07237,1.14166,1.44651,0.006535,0.006535,0.006535
107,115703,1.05874,0.85539,1.33745,0.69444,0.60543,0.64075,0.47685,1.072,1.14076,1.44594,0.006502,0.006502,0.006502
108,116378,1.06472,0.86901,1.34213,0.69839,0.60393,0.64102,0.47721,1.07169,1.13968,1.4454,0.006469,0.006469,0.006469
109,117047,1.06239,0.85653,1.33715,0.69905,0.6039,0.64122,0.47752,1.07129,1.13864,1.44493,0.006436,0.006436,0.006436
110,117765,1.06535,0.86064,1.3339,0.69872,0.60427,0.64105,0.47768,1.07076,1.13737,1.44436,0.006403,0.006403,0.006403
111,118430,1.05868,0.86098,1.3411,0.69935,0.60459,0.64152,0.47801,1.0704,1.13586,1.44379,0.00637,0.00637,0.00637
112,119098,1.06874,0.87265,1.34741,0.6989,0.60497,0.64162,0.47812,1.07005,1.13439,1.44328,0.006337,0.006337,0.006337
113,121652,1.04888,0.84808,1.33201,0.70061,0.60392,0.63988,0.47629,1.06973,1.13332,1.44253,0.006304,0.006304,0.006304
114,122325,1.05792,0.85075,1.332,0.70093,0.60309,0.63999,0.47659,1.06925,1.13197,1.44169,0.006271,0.006271,0.006271
115,122988,1.05161,0.8544,1.33462,0.69983,0.60383,0.63982,0.47671,1.0689,1.13094,1.44096,0.006238,0.006238,0.006238
116,123653,1.05373,0.84696,1.32361,0.70022,0.60463,0.64042,0.47749,1.0686,1.12952,1.44034,0.006205,0.006205,0.006205
117,124317,1.05638,0.84784,1.33042,0.70055,0.60476,0.64053,0.4776,1.06825,1.12844,1.43983,0.006172,0.006172,0.006172
118,126730,1.0498,0.83952,1.329,0.70061,0.60463,0.64045,0.4777,1.0678,1.12715,1.43925,0.006139,0.006139,0.006139
119,127395,1.0479,0.8482,1.32708,0.75872,0.60046,0.6392,0.47657,1.06745,1.12656,1.43869,0.006106,0.006106,0.006106
120,128059,1.04568,0.84307,1.33281,0.75864,0.60333,0.63964,0.47678,1.06713,1.12592,1.43804,0.006073,0.006073,0.006073
121,128724,1.04786,0.84786,1.33085,0.7599,0.60212,0.63917,0.47674,1.06679,1.12539,1.43755,0.00604,0.00604,0.00604
122,129390,1.05246,0.84841,1.33105,0.7598,0.60356,0.63952,0.47725,1.06657,1.12451,1.43709,0.006007,0.006007,0.006007
123,130057,1.04926,0.84199,1.33082,0.75999,0.60391,0.6396,0.4775,1.0662,1.12384,1.43658,0.005974,0.005974,0.005974
124,130724,1.04674,0.84159,1.32693,0.75908,0.60562,0.63968,0.47789,1.06584,1.12289,1.4362,0.005941,0.005941,0.005941
125,135538,1.04538,0.84073,1.32585,0.7589,0.60552,0.63939,0.47802,1.06541,1.12206,1.43569,0.005908,0.005908,0.005908
126,136198,1.04606,0.83933,1.32607,0.75943,0.60591,0.63916,0.47834,1.06508,1.12148,1.43513,0.005875,0.005875,0.005875
127,136863,1.04124,0.83675,1.32165,0.75993,0.60627,0.6388,0.4784,1.06471,1.12074,1.43471,0.005842,0.005842,0.005842
128,137533,1.04346,0.83692,1.32691,0.76022,0.60665,0.63904,0.47875,1.06443,1.12019,1.43431,0.005809,0.005809,0.005809
129,138199,1.03922,0.82956,1.31803,0.76109,0.60642,0.63888,0.47879,1.06394,1.11918,1.43383,0.005776,0.005776,0.005776
130,138863,1.04038,0.83315,1.32454,0.76187,0.6052,0.63929,0.47919,1.06356,1.11793,1.43338,0.005743,0.005743,0.005743
131,139528,1.04196,0.84286,1.32101,0.76266,0.60494,0.63954,0.47947,1.06326,1.11702,1.43276,0.00571,0.00571,0.00571
132,140193,1.03801,0.8376,1.32447,0.76033,0.60588,0.63885,0.47926,1.06286,1.11603,1.43218,0.005677,0.005677,0.005677
133,140858,1.04264,0.83605,1.31709,0.76245,0.60448,0.63987,0.47966,1.06245,1.11506,1.43157,0.005644,0.005644,0.005644
134,141525,1.03739,0.83349,1.31453,0.76385,0.60361,0.64017,0.4803,1.06211,1.11391,1.43124,0.005611,0.005611,0.005611
135,142190,1.03238,0.82515,1.31951,0.76395,0.60337,0.64045,0.4809,1.06179,1.11273,1.43083,0.005578,0.005578,0.005578
136,142856,1.0331,0.82682,1.32278,0.76357,0.60333,0.64036,0.481,1.06141,1.11149,1.43031,0.005545,0.005545,0.005545
137,143524,1.03322,0.82329,1.3166,0.7649,0.60204,0.64046,0.48111,1.06099,1.11057,1.42985,0.005512,0.005512,0.005512
138,144191,1.03428,0.83049,1.31886,0.76536,0.60171,0.64032,0.48122,1.06044,1.10953,1.42911,0.005479,0.005479,0.005479
139,144857,1.03247,0.82175,1.31227,0.76417,0.60193,0.64003,0.48164,1.06,1.10834,1.42849,0.005446,0.005446,0.005446
140,145524,1.02473,0.81605,1.31743,0.7656,0.60166,0.64019,0.48218,1.05961,1.10744,1.42804,0.005413,0.005413,0.005413
141,146191,1.02553,0.81892,1.31992,0.7678,0.60138,0.64029,0.48222,1.05908,1.10648,1.42756,0.00538,0.00538,0.00538
142,146853,1.02239,0.813,1.31652,0.7693,0.60116,0.64115,0.4829,1.05887,1.10573,1.42723,0.005347,0.005347,0.005347
143,147518,1.01929,0.80614,1.30874,0.76854,0.60114,0.64155,0.48347,1.0585,1.10495,1.42658,0.005314,0.005314,0.005314
144,148182,1.02552,0.81426,1.30935,0.76828,0.60089,0.64131,0.48351,1.05813,1.10376,1.42613,0.005281,0.005281,0.005281
145,148846,1.01966,0.8061,1.31487,0.76926,0.60031,0.64155,0.48346,1.05776,1.10257,1.42567,0.005248,0.005248,0.005248
146,149511,1.0227,0.80841,1.31094,0.76894,0.60006,0.64177,0.4838,1.05746,1.10159,1.42515,0.005215,0.005215,0.005215
147,150178,1.02778,0.81166,1.307,0.76947,0.59958,0.64228,0.48401,1.05704,1.10083,1.42461,0.005182,0.005182,0.005182
148,153483,1.0254,0.80761,1.30922,0.76595,0.60107,0.64252,0.48483,1.0566,1.1003,1.42393,0.005149,0.005149,0.005149
149,154148,1.01706,0.80746,1.31446,0.71151,0.6007,0.64265,0.48489,1.05625,1.09908,1.42343,0.005116,0.005116,0.005116
